Unnamed: 0,Project Name,datetime,Power[kWh],Power_ConfInt10[kWh],Power_ConfInt25[kWh],Power_ConfInt75[kWh],Power_ConfInt90[kWh],W.Speed[m/s],W.Speed P10[m/s],W.Speed P25[m/s],W.Speed P75[m/s],W.Speed P90[m/s],W.Direc[deg],pred_date,despacho,time,wind_speed_10m,wind_direction_10m,wind_gusts_10m,temperature_2m,pressure_msl,relative_humidity_2m
0,El Dorado,2023-07-02 00:00:00,36065.4,14363.0,22873.8,40843.9,46494.5,8.9,6.5,7.8,9.7,10.2,320.6,pred_20230701,22.35,2023-07-02 00:00:00,12.2,313,23.0,20.6,1014.3,80
1,El Dorado,2023-07-02 01:00:00,33136.1,8445.7,18528.1,38121.7,46299.1,8.6,5.2,7.2,9.3,9.8,320.7,pred_20230701,23.51,2023-07-02 01:00:00,12.8,310,24.1,20.6,1013.8,78
2,El Dorado,2023-07-02 02:00:00,33147.9,10477.6,20465.5,37376.5,45720.7,8.6,6.0,7.5,9.4,9.9,323.4,pred_20230701,27.94,2023-07-02 02:00:00,13.2,315,25.6,20.6,1012.9,77
3,El Dorado,2023-07-02 03:00:00,31824.6,6638.5,16584.9,36053.2,43698.3,8.3,5.0,6.9,9.1,9.6,328.1,pred_20230701,39.24,2023-07-02 03:00:00,13.0,326,25.6,20.6,1012.5,76
4,El Dorado,2023-07-02 04:00:00,31058.4,7034.2,17295.9,35287.0,41981.5,8.3,5.4,7.1,9.1,9.6,327.7,pred_20230701,41.15,2023-07-02 04:00:00,12.5,342,25.2,20.3,1012.3,76
5,El Dorado,2023-07-02 05:00:00,31107.7,5428.1,15288.2,35336.3,41699.2,8.4,5.0,7.0,9.1,9.7,331.6,pred_20230701,38.39999999999999,2023-07-02 05:00:00,11.9,355,24.5,20.1,1012.6,76
6,El Dorado,2023-07-02 06:00:00,28939.4,7408.1,17444.0,33418.8,42768.7,8.2,5.3,6.9,9.0,9.5,349.7,pred_20230701,45.36,2023-07-02 06:00:00,12.0,21,23.0,19.2,1013.2,82
7,El Dorado,2023-07-02 07:00:00,35107.4,12183.6,22731.4,42337.9,49359.2,8.9,5.7,7.7,9.6,10.3,357.1,pred_20230701,41.60999999999999,2023-07-02 07:00:00,13.4,20,26.3,18.6,1013.9,89
8,El Dorado,2023-07-02 08:00:00,37840.7,9399.7,22134.4,42069.3,45313.8,9.2,5.8,7.7,10.0,10.5,346.4,pred_20230701,37.5,2023-07-02 08:00:00,13.1,21,28.1,21.2,1013.6,80
9,El Dorado,2023-07-02 09:00:00,34277.9,15895.0,30049.3,45080.2,48345.8,8.8,6.7,7.7,9.5,10.3,2.1,pred_20230701,40.89,2023-07-02 09:00:00,14.3,25,33.1,23.1,1013.9,74
10,El Dorado,2023-07-02 10:00:00,30938.1,8961.0,21646.6,47538.5,49600.0,8.1,5.6,7.3,9.8,10.5,358.9,pred_20230701,36.77,2023-07-02 10:00:00,19.5,16,45.0,24.8,1013.9,68
11,El Dorado,2023-07-02 11:00:00,44986.4,19267.9,34794.0,50794.1,53724.8,9.9,7.6,8.9,10.7,11.9,354.8,pred_20230701,44.63,2023-07-02 11:00:00,26.0,356,58.7,26.1,1013.2,60
12,El Dorado,2023-07-02 12:00:00,51916.7,32858.7,46335.0,54000.0,54000.0,11.3,8.9,10.3,12.1,13.4,351.7,pred_20230701,39.5,2023-07-02 12:00:00,29.3,349,64.1,26.7,1012.2,55
13,El Dorado,2023-07-02 13:00:00,52744.4,45548.4,48515.8,54000.0,54000.0,11.5,10.2,10.7,13.5,14.1,350.3,pred_20230701,45.370000000000005,2023-07-02 13:00:00,28.3,348,65.9,26.9,1011.0,54
14,El Dorado,2023-07-02 14:00:00,52605.5,44179.5,47654.1,54000.0,54000.0,12.7,11.3,11.9,14.2,14.9,348.3,pred_20230701,45.31,2023-07-02 14:00:00,26.9,352,64.1,25.9,1010.1,59
15,El Dorado,2023-07-02 15:00:00,52100.9,43674.9,47149.6,54000.0,54000.0,12.6,11.1,11.7,14.0,14.3,349.2,pred_20230701,42.45,2023-07-02 15:00:00,28.3,353,60.8,25.8,1009.2,59
16,El Dorado,2023-07-02 16:00:00,52884.2,44458.2,47932.8,54000.0,54000.0,12.3,10.8,11.4,13.8,14.2,347.4,pred_20230701,38.7,2023-07-02 16:00:00,25.3,356,63.0,24.7,1009.0,67
17,El Dorado,2023-07-02 17:00:00,52833.1,44407.1,47881.7,54000.0,54000.0,12.2,10.8,11.4,13.1,13.9,349.6,pred_20230701,38.86000000000001,2023-07-02 17:00:00,21.3,358,55.8,23.9,1009.0,71
18,El Dorado,2023-07-02 18:00:00,52790.7,42614.5,47839.4,54000.0,54000.0,11.3,9.8,10.4,12.1,12.7,346.3,pred_20230701,42.58999999999999,2023-07-02 18:00:00,21.3,357,48.6,22.9,1009.3,75
19,El Dorado,2023-07-02 19:00:00,52870.8,38122.5,47919.4,54000.0,54000.0,10.9,9.3,10.0,11.7,12.5,342.7,pred_20230701,46.26999999999999,2023-07-02 19:00:00,20.2,357,46.1,22.6,1009.4,76
20,El Dorado,2023-07-02 20:00:00,52628.0,32549.2,47676.7,54000.0,54000.0,10.7,8.4,9.9,11.6,12.2,342.7,pred_20230701,42.66,2023-07-02 20:00:00,21.3,356,43.9,22.8,1009.4,75
21,El Dorado,2023-07-02 21:00:00,52089.4,32706.7,47138.1,54000.0,54000.0,10.6,8.5,9.8,11.5,12.2,344.7,pred_20230701,39.28,2023-07-02 21:00:00,19.8,358,44.6,22.6,1009.8,75
22,El Dorado,2023-07-02 22:00:00,51915.2,32706.7,46963.8,54000.0,54000.0,10.6,8.2,9.8,11.5,12.1,344.5,pred_20230701,44.53999999999999,2023-07-02 22:00:00,18.7,360,42.5,22.4,1010.3,75
23,El Dorado,2023-07-02 23:00:00,51490.0,30564.3,44585.0,54000.0,54000.0,10.6,8.4,9.6,11.4,12.0,347.5,pred_20230701,38.82,2023-07-02 23:00:00,17.6,1,40.0,22.4,1010.8,74
24,El Dorado,2023-07-03 00:00:00,48558.8,18262.9,41960.8,53602.2,54000.0,10.2,8.0,9.4,10.9,11.6,349.1,pred_20230702,29.45,2023-07-03 00:00:00,15.2,5,37.8,21.9,1010.7,77
25,El Dorado,2023-07-03 01:00:00,49045.2,22423.0,41290.4,53665.0,54000.0,10.2,8.0,9.4,11.0,11.8,348.7,pred_20230702,39.010000000000005,2023-07-03 01:00:00,14.3,10,32.0,21.5,1010.8,81
26,El Dorado,2023-07-03 02:00:00,48352.2,22423.0,39536.6,52689.3,54000.0,10.1,8.0,9.4,10.9,11.4,350.6,pred_20230702,42.24,2023-07-03 02:00:00,14.9,8,31.3,21.1,1010.8,84
27,El Dorado,2023-07-03 03:00:00,47143.8,22423.0,37394.5,52333.8,54000.0,9.9,8.0,9.2,10.7,11.2,350.9,pred_20230702,43.42,2023-07-03 03:00:00,15.1,3,32.4,20.9,1010.7,86
28,El Dorado,2023-07-03 04:00:00,46693.7,17832.1,36668.2,51144.7,53889.7,9.8,7.7,9.1,10.6,11.1,350.4,pred_20230702,40.96000000000001,2023-07-03 04:00:00,15.5,4,32.4,20.4,1010.9,89
29,El Dorado,2023-07-03 05:00:00,46317.7,17832.1,36668.2,50899.8,53620.0,9.8,7.7,9.0,10.5,11.1,350.3,pred_20230702,42.49,2023-07-03 05:00:00,16.2,1,34.2,20.2,1011.1,91
30,El Dorado,2023-07-03 06:00:00,46048.6,17832.1,35785.2,51730.6,53573.5,9.7,8.0,9.0,10.5,11.1,350.5,pred_20230702,45.10999999999999,2023-07-03 06:00:00,16.2,1,34.6,20.1,1011.6,92
31,El Dorado,2023-07-03 07:00:00,46749.6,18188.9,35612.3,51303.0,53945.6,9.8,7.7,9.1,10.6,11.1,350.2,pred_20230702,45.60999999999999,2023-07-03 07:00:00,15.2,5,34.2,20.3,1012.4,92
32,El Dorado,2023-07-03 08:00:00,40713.1,17832.1,32102.5,49546.8,53037.6,8.9,7.3,8.1,10.0,10.9,347.1,pred_20230702,42.83,2023-07-03 08:00:00,16.7,6,32.4,21.5,1013.0,89
33,El Dorado,2023-07-03 09:00:00,45652.4,22412.9,38539.4,53254.4,53412.3,9.6,8.0,8.9,10.8,11.0,357.7,pred_20230702,39.87,2023-07-03 09:00:00,19.9,356,43.2,22.9,1013.6,82
34,El Dorado,2023-07-03 10:00:00,47327.6,28191.0,40359.1,53933.9,54000.0,9.8,8.2,9.0,11.3,12.1,351.4,pred_20230702,42.26,2023-07-03 10:00:00,21.6,349,47.9,24.2,1014.0,75
35,El Dorado,2023-07-03 11:00:00,51050.4,43854.3,46821.8,54000.0,54000.0,10.9,9.6,10.2,12.3,13.3,349.3,pred_20230702,40.2,2023-07-03 11:00:00,23.8,350,53.3,25.3,1013.5,69
